3 - 4 - 3
1 - 3 - 4 - 3
1 - 2 - 2 - 2
OSPINA David
KARNEZIS Orestis
MERET Alex
CANCELO Joao
CRISCITO Domenico
D'AMBROSIO Danilo
FERRARI Gianmarco
TONELLI Lorenzo
CACCIATORE Fabrizio
PEZZELLA German
ALVES Bruno
ZIELINSKI Piotr
PASTORE Javier
VERETOUT Jordan
GIACCHERINI Emanuele
BERISHA Valon
STULAC Leo
DZEMAILI Blerim
ZAJC Miha
PIATEK Krzysztof
IMMOBILE Ciro
STEPINSKI Mariusz
PJACA Marko
BERARDI Domenico
TEODORCZYK Lukasz


Tue 25 Sep 2018 - 17:18:30
